R_squared	Analysis_Type	Target_Group	Source_File	GO.ID	Term	Annotated	Significant	Expected	Classic_Fisher
0.70	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	1	0.02	0.0158
0.70	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	2	0.01	3.6e-05
0.70	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	2	0.02	8e-05
0.70	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0030312	external encapsulating structure	85	3	0.05	0.01
0.70	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	3	0.05	0.01
0.70	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004867	serine-type endopeptidase inhibitor activity	13	1	0.01	0.0055
0.70	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0042302	structural constituent of cuticle	29	1	0.01	0.0121
0.70	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0005214	structural constituent of chitin-based cuticle	29	1	0.01	0.0121
0.70	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	1	0.01	0.0121
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	9	0.07	1.6e-18
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	12	0.22	1e-05
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	4	0.46	0.00086
0.70	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	11	0.07	4.9e-26
