"motivo" "n_OG_sig" "median_R2_adj" "median_pval" "n_positive_coef" "n_negative_coef" "direction_dominant"
"MA0208.1" 566 0.0308 0.0211 426 140 "polymorphic"
"MA0240.1" 566 0.0308 0.0211 426 140 "polymorphic"
"MA0175.1" 564 0.0298 0.022 351 213 "polymorphic"
"MA2189.1" 555 0.0289 0.0235 245 310 "monomorphic"
"MA0168.1" 554 0.0301 0.0211 402 152 "polymorphic"
"MA2252.1" 553 0.0304 0.0208 486 67 "polymorphic"
"MA0535.1" 543 0.0273 0.0267 91 452 "monomorphic"
"MA2303.1" 542 0.0297 0.0221 329 213 "polymorphic"
"MA2277.1" 521 0.0277 0.0252 506 15 "polymorphic"
"MA0184.2" 501 0.0299 0.0248 425 76 "polymorphic"
"MA0195.2" 501 0.0299 0.0248 425 76 "polymorphic"
"MA2250.1" 480 0.0297 0.0212 349 131 "polymorphic"
"MA0204.1" 470 0.0285 0.0231 256 214 "polymorphic"
"MA2316.2" 469 0.0318 0.0188 409 60 "polymorphic"
"MA2631.1" 464 0.0282 0.0259 270 194 "polymorphic"
"MA2217.1" 458 0.0288 0.0257 104 354 "monomorphic"
"MA2228.1" 456 0.0301 0.0225 270 186 "polymorphic"
"MA0185.2" 390 0.0297 0.0264 82 308 "monomorphic"
"MA0199.1" 368 0.0277 0.0276 296 72 "polymorphic"
"MA0252.2" 340 0.0312 0.0242 229 111 "polymorphic"
"MA2204.1" 262 0.0243 0.0354 256 6 "polymorphic"
"MA0233.1" 256 0.0297 0.0269 41 215 "monomorphic"
"MA0210.1" 218 0.029 0.0228 92 126 "monomorphic"
"MA0217.1" 218 0.029 0.0228 92 126 "monomorphic"
